Skjølaagrinda,642843.29,7097691.23
Vestbygda,658158.97,7123609.14
Viosen,663239.92,7129266.98
Ytre Sørbygda,664754.07,7127257.93
Tannvikvaagen,511824.96,7028786.97
Sør-Gutvika,633285.82,7220827.00
Breide,657944.93,7123697.09
Meraaker,637791.58,7035510.61
Kopperaa,642258.01,7032511.98
Brekken,646829.15,6949676.84
Brekka,646829.15,6949676.84
Brekkebygd,646829.15,6949676.84
Praahka,646829.15,6949676.84
Medjaa,659423.04,7152845.93
Rosten,658196.96,7151290.05
Flora,616445.01,7000058.09
Hemne,504270.06,7017033.62
Kjørse,504199.84,7017499.67
Støa,503394.96,7017652.85
Gangaasvassbygda,531412.32,7017728.21
Haugen,503760.02,7018564.13
Kyrksæterøra,504464.71,7017966.23
Kyrkseterøra,504464.71,7017966.23
Kristentrøa,504155.06,7019378.93
Halsa,462151.04,6993812.07
Rindal,510695.90,6991794.45
Rissa,547741.44,7051561.65
Valsøybotn,480598.03,6996140.94
Bremneset,482336.46,7068129.53
Flatval,488086.89,7062356.70
Langaasen,488583.97,7062826.89
Engan,477762.67,6999478.51
Engjan,477762.67,6999478.51
Nordbotn,506815.01,7057661.01
Binde,632146.04,7109894.12
Trones,682976.07,7185274.91
Skorovatn,696452.00,7175141.97
Gullvika,618557.04,7152270.92
Fossbrenna,622091.95,7153225.92
Svalia,641447.96,7156476.55
Ranemsletta,641621.58,7155307.89
Ytre Skjervøya,562715.13,7130639.15
Gaasbakken,731125.03,7132507.15
Gaasbakk,731125.03,7132507.15
Røra,618043.78,7083525.13
Mære,618900.00,7092364.89
Asphaugen,622300.04,7106734.10
Stugudalen,646952.59,6978641.06
Straumen,612806.99,7084738.90
Geitastrand,546440.47,7026726.39
Geitastranda,546440.47,7026726.39
Løkken Verk,535564.99,6999803.00
Svorkmo,537390.83,7004711.25
Snoen,536459.98,6986434.91
Fannremsmoen,541340.98,7016352.94
Harbak,550967.96,7106341.03
Skavdalen,540166.04,7068861.02
Fauskan,538198.05,7080680.14
Vormstad,538727.99,7008071.14
Flaa,565499.03,7008275.08
Lensvik,540239.98,7042998.09
Selbekken,540959.50,7041956.97
Singstad,538495.14,7039331.36
Fevaag,542121.85,7061300.53
Korsvegen,542592.95,7061417.98
Fevaagsjøen,542481.96,7062200.90
Grønningen,537448.67,7050537.32
Voll,542704.06,6972179.91
Rennebu,542704.06,6972179.91
Aa,537570.63,6984114.87
Aa Sentrum,537570.63,6984114.87
Sprova,612465.94,7113457.04
Hunn,632849.85,7151568.44
Vuku,634968.91,7074884.06
Stallvika,547853.04,7070293.89
Botngaard,539883.05,7071062.86
Bjugn,539883.05,7071062.86
Svenningsmoen,642154.05,7155882.67
Verdalsøra,622336.36,7076596.50
Ørmelen,621383.10,7076167.69
Verdal,622025.87,7076131.21
Orvos,622009.43,6946460.91
Orvas,622009.43,6946460.91
Smaahagan,623252.07,6940713.08
Haugan,622786.77,6941037.14
Røros,622459.23,6940418.82
Plaassja ,622459.23,6940418.82
Smaaøran,541089.95,7020994.94
Fannrem,540943.89,7015542.07
Baardshaug,542326.52,7019106.09
Gilhaugen,541466.07,7016522.01
Bergsmoen,654733.94,7153036.95
Grong,659438.96,7152950.95
Nordskaget,478309.04,7064381.01
Øyn,484979.03,7074887.91
Froan,508540.13,7096998.93
Inntian,494012.98,7066019.85
Vaagland,463806.04,6999098.07
Ytter-Vaagland,462156.89,7000937.49
Daløya,470098.96,7061496.92
Sula,473371.04,7079880.90
Hoston,529569.04,7007436.03
Sørgjerdet,535869.07,7000039.12
Sørleksa,516302.06,7049757.90
Storfosna,520158.07,7059532.91
Vallersund,536799.04,7081852.12
Vasøya,535728.06,7081147.89
Lia,539844.00,7073071.85
Ervika,535425.98,7069630.08
Selva,535411.99,7054320.09
Kvalvika,504523.95,7059734.10
Vinjeøra,499232.14,7008583.15
Stensmoen,535654.65,7000160.25
Grande,529119.29,7061175.75
Haarberg,531639.02,7063397.08
Brekstad,532909.02,7062305.91
Beian,528157.03,7058770.91
Ansnes,499722.97,7056669.11
Orkanger,542614.08,7020041.92
Raabygda,540581.67,7021067.10
Svean,540816.04,7020719.05
Sandstad,504749.44,7043804.41
Persaunet,572096.86,7034334.50
Øvre Charlottenlund,574632.37,7033242.14
Otilienborg,571877.08,7031662.54
Othilienborg,571877.08,7031662.54
Møllenberg,570409.94,7034360.91
Sorgenfri,569885.95,7031610.97
Bessaker,564159.93,7125173.17
Eggkleiva,552668.03,7017365.93
Soknedal,560277.00,6980682.08
Soknesmoan,564446.93,6990366.11
Fredheim,564928.96,6990806.93
Sistranda,491761.03,7066406.53
Strand,555545.36,7091560.94
Raakvaag,553078.39,7070956.91
Raakvaagen,553078.39,7070956.91
Gjølja,548914.99,7073225.13
Gjølga,548914.99,7073225.13
Frengen,545195.96,7063508.97
Meldal,536008.98,6990928.10
Meldal Sentrum,536008.98,6990928.10
Buvika,559331.02,7020957.15
Øverkjøra,547954.04,7032633.85
Sveberg,587688.97,7033584.05
Roan,558963.91,7117914.87
Kiran,555106.30,7111506.40
By,569637.06,7095950.83
Aarnes,560043.34,7093129.80
Saupstad,567480.93,7027093.13
Halten,519795.98,7116062.75
Klæbu,574327.01,7019608.75
Ler,565440.20,7008404.90
Blankbygda,580493.07,7063240.05
Torp,584521.07,7035093.10
Hundhammeren,579761.82,7035790.97
Sørnesset,578662.26,7146101.25
Tunnsjørørvika,708534.67,7192872.24
Nerskogen,530957.97,6961489.13
Norskogen,530957.97,6961489.13
Vassbotna,652707.03,7162682.90
Varøya,611479.96,7189369.89
Lønset,517666.72,6939218.05
Mausund,483473.15,7082305.94
Vognillan,529273.59,6942843.71
Hesern,650536.95,7207931.05
Titran,465671.01,7060182.01
Gjæsingen,495061.31,7088970.52
Sundan,508954.95,7040916.13
Breen,523755.43,6943001.00
Forsnes,470815.97,7033880.85
Svellingen,490284.74,7074538.33
Korsvegen,555418.96,7003902.99
